Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Mayor Joe Quimby	Joe Quimby	male	The Quimby Compound	Springfield	USA	libertarian	married to Martha Quimby	Sideshow Bob, Chief Clarence Wiggum	embezzling tax money, taking bribes from organized crime, paying kickbacks to the police chief	Mayoral limousine	absolute power	Mayoral chain, Mayoral sash	The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening		The Democratic Party	The Simpsons	slick, opportunistic, phony, corrupt, sleazy, contemptuous, lecherous, randy, self-regarding, promiscuous, pompous, self-aggrandising, gaffe-plagued	powerful, charming, electable	Mayor, Political Leader, Womanizer	Cce
Chief Clarence Wiggum	Clarence Wiggum	male	Springfield police station	Springfield	USA	right	married to Sarah Wiggum	Mayor Joe Quimby	eating donuts,	police cruiser	police baton	police uniform	The Simpsons, Springfield	cartoons	fictional	Hank Azaria, Edward G. Robinson	Matt Groening		Springfield Police Force	The Simpsons	incompetent, irresponsible, lazy, gluttonous, ignorant, impulsive, fat	well-meaning, easy-going	Police Chief, Policeman	
Lionel Hutz	Lionel Hutz	male	Springfield shopping mall	Springfield	USA	libertarian	single		losing court cases, repairing shoes	ambulance chaser 3000	restraining order	cheap suit	The Simpsons, Springfield	cartoons	fictional	Phil Hartman	Matt Groening			The Simpsons	inept, incompetent, ambulance-chasing, opportunistic, unethical, alcoholic	optimistic, affable, easy-going, upbeat	Lawyer, Ambulance Chaser, Shyster	Mpb
Troy McClure	Troy McClure	male	Betty Ford clinic	Springfield	USA	right	divorced from Selma Bouvier	Rainier Luftwaffe Wolfcastle	appearing in infomercials, hosting educational films	fish mobile	giant frozen fishstick	pink Angora sweater	The Simpsons, Springfield	cartoons	fictional	Phil Hartman	Matt Groening			The Simpsons	washed-up, perverted, narcissistic, phony, wooden, glib, superficial,	charming, handsome, media-savvy, affable	Actor, Has-Been	
Rainier Luftwaffe Wolfcastle	Rainier Luftwaffe Wolfcastle	male	Wolfcastle Castle	Springfield	USA	right	divorced from Maria Quimby	Kent Brockman	making action movies, starring in action movies	gas-guzzling Hummer	gold-plated barbell, Bratwurst spike	workout sweats	The Simpsons, Springfield	cartoons	fictional	Harry Shearer, Arnold Schwarzenegger	Matt Groening		The Republican Party	The Simpsons	musclebound, inarticulate, stiff, oafish, wooden, cliched	popular, muscular, strong, powerful	Actor, Action Star	
Krusty the Clown	Herschel Krustofski	male	Springfield synagogue	Springfield	USA	right	single	Sideshow Bob	introducing cartoons, telling bad jokes, pushing shoddy merchandise	54-seater clown car	Krusty's Toxic Kologne	clown shoes, fright wig	The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening		The Republican Party	The Simpsons	cynical, burnt-out, addiction-riddled, miserable, jaded, wizened	witty, entertaining, hugely-quotable, affable,	Clown, Entertainer, Has-Been	
Edna Krabappel	Edna Krabappel	female	Springfield High	Springfield	USA	right	married to Ned Flanders	Bart Simpson	smoking during recess, looking for love	Springfield school bus	sharp-edged ruler	comfortable shoes	The Simpsons, Springfield	cartoons	fictional	Marcia Wallace	Matt Groening		Springfield PTA	The Simpsons	grumpy, jaded, frustrated, pessimistic, sexually-aggressive, promiscuous	strong-willed, tough-skinned, passionate	Teacher	
Kent Brockman	Kent Brockman	male	Channel 6 Studios	Springfield	USA	right	married to Stephanie Brockman	Arnie Pye	reading the news, hosting anodyne game shows	blue Mercedes-Benz S420	Peabody Award statuette	Moire pattern jacket	The Simpsons, Springfield	cartoons	fictional	Harry Shearer	Matt Groening		Channel 6	The Simpsons	sanctimonious, vain, swaggering, over-paid, foul-mouthed, arrogant, submissive, gullible, opinionated, smarmy, schmaltzy, careerist, reactionary, unsympathetic, judgmental	well-paid, media-savvy, straight-talking	Anchorman, News Reader, Reporter, Journalist	
Hans Moleman	Hans Moleman	male	Oak Grove	Springfield	USA	right	dated Selma Bouvier	Lars Ulrich	getting run over by cars	Zimmer frame	cane with retractable sword	old man pants	The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening		Metallica fan club	The Simpsons	unlucky, elderly, slow, decrepid, visually-impaired, alcoholic, doddery	easy-going, accepting, unhurried	Old Man	
Selma Bouvier	Selma Bouvier	female	Spinster Arms	Springfield	USA	right	divorced from Troy McClure, engaged to Sideshow Bob, dated Hans Moleman, dated Moe Szyslak	Homer Simpson	smoking Laramie Hi-Tars, watching MacGyver reruns, clipping coupons	DMV test car	rabid iguana	blue pearl necklace, grey-blue rinse	The Simpsons, Springfield	cartoons	fictional	Julie Kavner	Matt Groening		Springfield DMV	The Simpsons	raspy, bitter, twisted, desperate, lovelorn, unprofessional, cynical, tobacco-addicted, rude, contemptuous, man-hating	thrifty, tough-skinned, resilient	Spinster, Sister	
Principal Seymour Skinner	Seymour Skinner	male	Springfield Elementary	Springfield	USA	right	dating Edna Krabappel	Superintendent Chalmers	disciplining students, looking after mother	mother's car	flaming toupee	blue suit and orange tie	The Simpsons, Springfield	cartoons	fictional	Harry Shearer	Matt Groening	Be-Sharps Barbershop quartet	Springfield Mensa, Be-Sharps Barbershop quartet	The Simpsons	bureaucratic, Oedipal, strict, disciplinarian, uptight, bland, spineless, stern	intelligent, decent, sincere, well-educated	Teacher, Principal, Bureaucrat, Disciplinarian	
Nelson Muntz	Nelson Muntz	male	Springfield Elementary	Springfield	USA	right	dating Lisa Simpson	Martin Prince, Bart Simpson	bullying schoolkids, stealing lunch money	homemade go-kart	trashcan lid	kiddie dentures, dirty torn vest	The Simpsons, Springfield	cartoons	fictional	Nancy Cartwright	Matt Groening		Springfield bullies	The Simpsons	bullying, pushy, cruel, mocking, sarcastic, delinquent	surprisingly-sensitive, tough, physical	Bully, Schoolkid, Juvenile Delinquent	4te
Groundskeeper Willie MacDougal	Willie MacDougal	male	Springfield Elementary	Springfield	USA	left	dating Patty Bouvier	Principal Seymour Skinner	cleaning floors, burying dead hamsters	mini-tractor	shovel	tartan kilt	The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening	The Aberdeen Stranglers	The Aberdeen Stranglers	The Simpsons	incompetent, hot-tempered, perverse, ugly, angry, gruff	muscular, surprisingly-well-built, surprisingly-strong	Groundskeeper, Janitor	
Thomas "Neo" Anderson	Thomas Anderson, Neo Anderson	male	Lower Downtown	Capital City	USA	left	dating Trinity	Agent Smith	hacking into corporate mainframes, nursing a messiah complex, bending spoons, performing kung-fu moves	Nebuchadnezzar	Martial Arts, Kung Fu	black cassock with Mandarin collar	The Matrix	science fiction, movies	fictional	Keanu Reeves	Andy Wachowski, Lana Wachowski		The Human Resistance	The Matrix	dour, messianic, reality-distorting	spiritual, agile, driven, capable, strong, protective, heroic, telekinetic, strong, fast	Software Developer, Hacker, Hero, Messiah	H
Morpheus	Morpheus	male	The Nebuchadnezzar	Zion	New Earth	left	dating Niobe	Agent Smith	searching for the messiah, recruiting dissidents, raging against the machine	Nebuchadnezzar	Martial Arts, Kung Fu, electromagnetic pulse	leather trenchcoat	The Matrix	science fiction, movies	fictional	Laurence Fishburne	Andy Wachowski, Lana Wachowski		The Human Resistance	The Matrix	mysticism-peddling, moralistic, preachy, humorless	inspirational, influential, spiritual, driven, faithful, strong, fast	Hacker, Captain, Rebel, Terrorist	
Trinity	Trinity	male	The Matrix	Zion	New Earth	left	dating Thomas "Neo" Anderson	Agent Smith	hacking into corporate mainframes	Bell 212 helicopter, Ducati 996 motorcycle	Martial Arts, Kung Fu, Double Eagle kick	black leather bodysuit	The Matrix	science fiction, movies	fictional	Carrie-Anne Moss	Andy Wachowski, Lana Wachowski		The Human Resistance	The Matrix	terse, gruff, surly, intimidating	skilled, agile, capable, dedicated, enigmatic, strong, fast	Hacker, Heroine	H
Agent Smith		female	The Core	Machine City	New Earth	right		Thomas "Neo" Anderson, Morpheus, Trinity	fighting the resistence,	Caduceus	Desert Eagle semi-automatic pistol	black suit and angled sunglasses	The Matrix	science fiction, movies	fictional	Hugo Weaving	Andy Wachowski, Lana Wachowski		The Machine Collective	The Matrix	emotionless, heartless, cold, antagonistic, hateful, nihilistic	agile, strong, fast, driven, rational, pragmatic	Software Agent, AI Program Villain	Bad, Dra, Mpb, Chs, Kt
Glenn Quagmire	Glenn Quagmire	male	Spooner Street, Quahog	Rhode Island	USA	libertarian	dating Cheryl Tiegs, divorced from Charmise Quagmire	Brian Griffin	chasing women, exploiting women, looking for sex	Cesna	XL dildo	red Hawaiian shirt	Family Guy	cartoons	fictional	Seth MacFarlane	Seth MacFarlane		Quahog Book Club	Family Guy	anachronistic, appalling, over-sexed, lecherous, unsavory, disgusting, libidinous, sleazy, perverted, voyeuristic, tawdry, lewd	energetic, tenacious, passionate	Pilot, Neighbour, Hedonist, Voyeur, Pervert	
Uri Geller	Uri Geller	male		Tel Aviv	Israel	right	married to Hannah Geller	James Randi	bending spoons	Sabra GT	barrage of flying spoons, pistol with a bent barrel		Magic, Mentalism, Show Business	theater					The Magic Circle		phony, fraudulent, manipulative, self-aggrandizing	deft, dextrous, trilingual	Mentalist, Entertainer, Showman	
Jeffrey "The Dude" Lebowski	Jeffrey Lebowski	male	Hollywood Star Lanes, Los Angeles	California	USA	left	dating Maude Lebowski	Jackie Treehorn	going bowling, drinking White Russians	battered yellow Ford Torino	bowling ball	knitted cardigan, Inca pattern sweatpants, tattered hoodie	Bowling	sport, comedy	fictional	Jeff Bridges	Ethan Coen, Joel Coen	The Seattle Seven, The Port Huron Statement	The Seattle Seven	The Big Lebowski	unemployed, lazy, profane, stoned, drug-addled, clueless, burnt-out	easygoing, affable, gentle, peace-loving, laid-back, sociable, cool	Slacker, Hippie, Bowler, Deadbeat	
Iggy Pop	Iggy Pop	male	Ypsilanti	Michigan	USA	libertarian	married to Nina Alu	Billy Idol	doing raunchy stage acts	tricked-out hearse	Death Car	ultra-skinny jeans with no shirt	Music, Jazz, Blues music, Rock music, Punk rock music	music, singing		Elijah Wood, Ewan McGregor			The Stooges, The Trolls, The Prime Movers		raunchy, tawdry, libidinous, vulgar, drug-addled, tasteless	versatile, entertaining, cool, eclectic, energetic, muscular, passionate	Musician, Rock Singer, Punk	
Mark Zuckerberg	Mark Zuckerberg	male	Harvard	Massachusetts	USA	right	married to Priscilla Chan	Eduardo Saverin, Cameron Winklevoss, Tyler Winklevoss	hanging out on Facebook, changing privacy settings	Acura TSX	cutting-edge malware	bathrobe and socks, hoody and jeans	Facebook, Technology, Software, the Software business	technology, business		Jesse Eisenberg		Facebook	Facebook	The Social Network	egomaniacal, anti-social, nerdy, geeky, duplicitous, prickly, arrogant, cheap	brilliant, clever, inventive, pioneering, rich, wealthy, brainy	Software Engineer, Technologist, Pioneer, CEO	
Roy Batty	Roy Batty	male	Los Angeles	California	USA	right	dating Pris	Rick Deckard, Dr. Eldon Tyrell	looking for immortality, avoiding retirement	stolen shuttle	super-strength	leather trenchcoat	Blade Runner, Science Fiction	science fiction, movies	fictional	Rutger Hauer	Philip K. Dick		Nexus-6	Blade Runner	amoral, brutal, cruel, soulless, dangerous, homicidal	intelligent, smart, strategic, skilled, strong, agile, fast	Replicant, Android, Fighter, Fugitive	Bad, Kt
Rick Deckard	Rick Deckard	male	Los Angeles	California	USA	right	dating Rachel Tyrell	Roy Batty	retiring replicants	flying hovercar	Pflager Katsumata-D pistol	brown trenchcoat, herringbone blazer	Blade Runner, Science Fiction	science fiction, movies	fictional	Harrison Ford	Philip K. Dick		L.A. Police Department	Blade Runner	jaded, cynical, world-weary, gruff, morally-conflicted, callous	tenacious, determined, brave, relentless, intelligent	Blade Runner, Policeman, Bounty Hunter	
Dr. Eldon Tyrell	Eldon Tyrell	male	Tyrell Pyramid, Los Angeles	California	USA	right		Roy Batty	designing replicants, building replicants	flying hovercar	laser Taser gun	smoking jacket	Blade Runner, Science Fiction	science fiction, movies	fictional	Joe Turkel	Philip K. Dick	Nexus-6 androids	Tyrell Corporation	Blade Runner	arrogant, haughty, high-handed, manipulative, condescending, dispassionate, cold, anti-social	wealthy, clever, scientific, rich, inventive, intelligent	Scientist, CEO, Inventor	Chs
Thor Odinson	Thor Odinson	male	Puente Antiguo	New Mexico	USA	libertarian	dating Dr. Jane Foster	Loki Laufeyson	starting thunderstorms, smiting frost giants	goat-drawn chariot	Mjolnir	long red cape and leather breeches	Norse mythology, Marvel Comics, The Avengers	science fiction, mythology, movies	fictional	Chris Hemsworth	Stan Lee, Jack Kirby		The Avengers	The Avengers, Marvel Comics, Norse mythology	arrogant, boastful, show-offy, vain, self-regarding	heroic, strong, brave, daring, powerful, tall, agile, muscular, well-built, regal	Norse God, God, Hero	H
Loki Laufeyson	Loki Laufeyson	male			Asgard			Thor Odinson	plotting against family members, devising evil schemes	Tesseract	Norn Stones, Laevateinn wand, Tesseract	long-horned helmet	Norse mythology, Mythology, Marvel Comics	science fiction, mythology, movies	fictional	Tom Hiddleston	Stan Lee, Jack Kirby			The Avengers, Marvel Comics, Norse mythology	malevolent, manipulative, evil, callous, selfish, self-regarding, vain, bitter, resentful, dishonest, deceptive, duplicitous, malicious, hateful, imperious	playful, magical, mischievous, creative, fun-loving	Norse God, God, Frost Giant, Villain	Bad, Mpb, Chs, Av, Mol
Richard B. Riddick	Richard Riddick	male	New Mecca	Helion Prime	The Helion System	libertarian		Boss Johns, Lord Marshal Zhylaw, Alexander Toombs	evading mercenaries	Hunter-Gratzner spaceship	Necromonger knife, prison shiv, Ulak blades	muscle top and dark goggles	The Chronicles of Riddick, Science Fiction	science fiction, mythology, movies	fictional	Vin Diesel	David Twohy			The Chronicles of Riddick	notorious, dangerous, ruthless, predatory, violent, brutal, animalistic, bald, laconic, anti-social	cunning, strong, fast, agile, defiant, formidable, straightforward	Criminal, Convict, Killer, Loner	
Alan Turing	Alan Turing	male	Hut 8	Bletchley Park	UK	left		Hugh Alexander	cracking enemy codes, designing computer systems, studying computability	high Nellie bicycle	poisoned apple	Harris tweed	Mathematics, Computers, Crypography, Artificial Intelligence	mathematics, science, technology, computers		Benedict Cumberbatch		Artificial Intelligence, The Turing Machine	Hut 8	Bletchley Park	shy, nervous, blunt	brilliant, scientific, smart, super-intelligent, creative, enigmatic, tenacious, pioneering	Mathematician, Scientist, Code Breaker	
Conan the Barbarian	Conan	male		Cimmeria	Hyperborea	libertarian	dating Red Sonja	Thulsa Doom	stealing jewels, fighting barbarian hordes, defending the weak, foiling the schemes of evil villains	warhorse	two-handed sword	leather loin cloth, animal skins, horned helmet, black square-cut mane,	Mythology, Marvel Comics, The Hyborian Age, Movies	mythology, movies, comics	fictional	Arnold Schwarzenegger	Robert E. Howard			The Hyborian Age, Marvel Comics	sullen, gruff, barbaric, brutal, violent	cunning, strong, fast, agile, defiant, formidable, shrewd, strategic, honorable, straightforward	Thief, Barbarian, Hero, Mercenary, Warrior, Strongman	H
